,Team Name,Year,Games Played,Minutes,Wins,Loss,Win Percentage,Loss Percentage,Points,Three Pointers,Two Pointers,Second Chance Points,Counter Attack Points,Free Throws,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Fouls,Total Rebounds,Rebounds,Assists,Turnovers,Assists Turnover Ratio,Steals
127,Denver Nuggets,2017,82,19880.0,46,36,56.1,43.9,9020,940,2398,1152,1100,1404,404,391,1533,3,18,23,1556,4313,3650,2059,1227,1.68,627
128,Detroit Pistons,2017,82,19805.0,39,43,47.56,52.44,8509,886,2322,1045,887,1207,317,398,1508,3,29,34,1542,4231,3586,1868,1102,1.7,628
129,Golden State Warriors,2017,82,19730.0,58,24,70.73,29.27,9304,926,2583,847,1583,1360,612,300,1607,2,22,28,1635,4092,3568,2402,1265,1.9,655
130,Houston Rockets,2017,82,19755.0,65,17,79.27,20.73,9213,1256,1918,946,937,1609,392,363,1597,1,21,24,1621,4212,3564,1767,1135,1.56,699
131,Indiana Pacers,2017,82,19755.0,48,34,58.54,41.46,8656,741,2604,982,1211,1225,340,428,1544,2,20,27,1571,4069,3472,1819,1088,1.67,721
132,Los Angeles Clippers,2017,82,19705.0,42,40,51.22,48.78,8937,777,2525,1148,1090,1556,372,462,1638,2,27,34,1672,4331,3599,1832,1204,1.52,628
133,Los Angeles Lakers,2017,82,19905.0,35,47,42.68,57.32,8862,822,2516,1157,1438,1364,388,447,1736,5,28,39,1775,4518,3803,1949,1295,1.51,633
134,Memphis Grizzlies,2017,82,19705.0,22,60,26.83,73.17,8145,758,2255,960,1080,1361,396,421,1900,3,20,31,1931,4001,3323,1767,1227,1.44,613
135,Miami Heat,2017,82,19930.0,44,38,53.66,46.34,8480,903,2281,922,762,1209,437,378,1648,1,16,24,1672,4203,3564,1862,1178,1.58,620
136,Milwaukee Bucks,2017,82,19830.0,44,38,53.66,46.34,8731,718,2539,861,1201,1499,443,366,1752,9,21,22,1774,3868,3267,1905,1134,1.68,722
137,Minnesota Timberwolves,2017,82,19805.0,47,35,57.32,42.68,8980,658,2707,1114,793,1592,345,382,1495,5,20,27,1522,4082,3441,1862,1021,1.82,689
138,New Orleans Pelicans,2017,82,19955.0,48,34,58.54,41.46,9161,837,2663,980,1251,1324,485,344,1570,5,16,24,1594,4271,3635,2195,1223,1.79,657
139,New York Knicks,2017,82,19830.0,29,53,35.37,64.63,8566,673,2661,1101,705,1225,421,389,1682,6,28,36,1718,4279,3611,1912,1207,1.58,552
140,Oklahoma City Thunder,2017,82,19830.0,48,34,58.54,41.46,8844,881,2390,1239,1246,1421,412,377,1653,5,27,32,1685,4483,3695,1750,1147,1.53,743
141,Orlando Magic,2017,82,19730.0,25,57,30.49,69.51,8479,844,2338,879,1037,1271,400,402,1579,3,14,18,1597,4082,3414,1921,1191,1.61,622
142,Philadelphia 76ers,2017,82,19780.0,52,30,63.41,36.59,9004,901,2448,1121,939,1405,420,417,1811,7,20,23,1834,4557,3889,2221,1353,1.64,682
143,Phoenix Suns,2017,82,19705.0,21,61,25.61,74.39,8522,763,2390,1061,1177,1453,370,488,1807,10,22,23,1830,4361,3618,1743,1289,1.35,569
144,Portland Trail Blazers,2017,82,19755.0,49,33,59.76,40.24,8661,845,2377,1110,662,1372,423,418,1599,4,14,16,1615,4378,3728,1599,1109,1.44,573
145,Sacramento Kings,2017,82,19755.0,27,55,32.93,67.07,8104,738,2441,941,856,1008,340,389,1639,2,12,14,1653,4011,3354,1768,1125,1.57,643
146,San Antonio Spurs,2017,82,19730.0,47,35,57.32,42.68,8424,696,2506,1095,841,1324,460,318,1408,0,19,31,1439,4247,3626,1868,1078,1.73,628
147,Toronto Raptors,2017,82,19830.0,59,23,71.95,28.05,9156,968,2415,1058,1089,1422,500,401,1783,2,17,20,1803,4220,3607,1995,1095,1.82,626
148,Utah Jazz,2017,82,19755.0,48,34,58.54,41.46,8540,887,2252,931,834,1375,420,380,1608,1,18,23,1631,4163,3547,1839,1205,1.53,708
