,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
2782,Gordon Hayward,Boston Celtics,F,2017,1,1,1,5.0,0,2,0,0,1,0,0,0.0,0,0,1,1
2783,Aaron Gordon,Orlando Magic,F,2017,58,57,375,1909.0,157,1022,45,42,111,136,107,1.27,59,115,260,457
2784,Rodney Purvis,Orlando Magic,G,2017,16,2,35,290.0,13,96,3,2,26,17,10,1.7,3,13,22,27
2785,Adreian Payne,Orlando Magic,F,2017,5,0,7,43.0,5,21,0,0,6,0,2,0.0,2,2,5,9
2786,Jonathon Simmons,Orlando Magic,G,2017,69,50,354,2029.0,185,962,16,54,175,171,146,1.17,58,69,285,239
2787,Markel Brown,Houston Rockets,G,2017,4,0,2,31.0,0,5,0,0,6,2,2,1.0,0,1,1,5
2788,Tim Quarterman,Houston Rockets,G,2017,3,0,1,13.0,2,4,0,0,1,1,2,0.5,0,0,1,3
2789,Ryan Anderson,Houston Rockets,F,2017,66,50,207,1725.0,72,617,21,13,126,60,42,1.43,24,131,76,331
2790,Aaron Jackson,Houston Rockets,G,2017,1,0,3,35.0,1,8,0,1,4,1,1,1.0,0,1,2,3
2791,Bobby Brown,Houston Rockets,G,2017,20,0,19,115.0,1,50,0,2,6,11,9,1.22,4,11,8,7
2792,Trevor Ariza,Houston Rockets,F,2017,67,67,268,2269.0,76,782,13,21,132,105,52,2.02,98,170,98,294
2793,Chris Paul,Houston Rockets,G,2017,58,58,367,1847.0,203,1081,14,16,141,457,128,3.57,96,144,223,313
2794,Isaiah Canaan,Houston Rockets,G,2017,1,0,0,4.0,0,0,0,1,0,0,0,0.0,0,0,0,1
2795,Tarik Black,Houston Rockets,F-C,2017,51,2,75,537.0,29,180,30,10,107,13,35,0.37,21,1,74,163
2796,Briante Weber,Houston Rockets,G,2017,13,0,9,118.0,4,26,3,2,18,13,7,1.86,10,4,5,18
2797,James Harden,Houston Rockets,G,2017,72,72,651,2551.0,624,2191,50,98,169,630,315,2.0,126,265,386,389
2798,Derrick Jones Jr.,Miami Heat,F,2017,14,8,19,212.0,11,52,9,4,22,6,6,1.0,3,3,16,34
2799,Brandan Wright,Houston Rockets,F-C,2017,1,0,2,15.0,0,4,1,0,3,0,0,0.0,0,0,2,2
2800,Clint Capela,Houston Rockets,C,2017,74,74,441,2034.0,144,1026,137,65,185,68,103,0.66,58,0,441,802
